recency	history	used_discount	used_bogo	is_referral	treatment	zip_code_Rural	zip_code_Surburban	zip_code_Urban	channel_Multichannel	channel_Phone	channel_Web	proba_CN	proba_CR	proba_TN	proba_TR	uplift_score	target_class
2	295.14	1	0	1	1	0	1	0	1	0	0	0.49835965	0.057035517	0.3594155	0.08518937	0.17782669	3
4	175.91	1	0	1	1	1	0	0	0	0	1	0.46832153	0.08689114	0.34714094	0.097646415	0.12606883	3
9	83.92	1	0	1	1	0	0	1	0	0	1	0.5071047	0.014814524	0.42266086	0.055419914	0.17507401	2
6	486.66	1	0	0	0	0	1	0	1	0	0	0.4262326	0.041897915	0.3871067	0.14476283	0.36535364	0
4	29.99	0	1	0	1	0	0	1	0	1	0	0.44680223	0.051135316	0.4157302	0.08633222	0.13852176	2
1	29.99	0	1	0	1	0	0	1	0	1	0	0.39914238	0.101057544	0.3988883	0.100911826	-0.00025989115	2
7	390.47	1	0	0	1	0	1	0	0	0	1	0.44193152	0.0660565	0.32677773	0.16523427	0.4115966	2
7	46.15	0	1	1	0	0	1	0	0	1	0	0.38966215	0.010471734	0.5211558	0.07871035	0.21008536	0
3	118.32	1	0	1	1	0	1	0	0	1	0	0.41305074	0.035602253	0.48934805	0.06199899	0.06619278	2
2	270.69	1	1	0	1	0	1	0	0	0	1	0.36771005	0.0988176	0.32949167	0.20398061	0.34109783	2
9	29.99	1	0	0	0	0	0	1	0	1	0	0.51867115	0.027904298	0.36949226	0.08393228	0.26810905	0
6	29.99	0	1	1	1	0	0	1	0	0	1	0.49095246	0.025293585	0.44756857	0.03618543	0.05161224	2
3	29.99	1	0	0	0	0	0	1	0	0	1	0.4430749	0.07301976	0.3886411	0.095264174	0.11076023	0
9	117.27	0	1	1	0	0	1	0	0	0	1	0.5646868	0.010769294	0.3828099	0.041734025	0.15917766	0
1	83.75	0	1	1	1	0	0	1	0	0	1	0.44674683	0.054068692	0.4295048	0.06967963	0.06325126	2
4	283.5	1	0	0	1	0	0	1	0	1	0	0.42437106	0.0631648	0.4253996	0.08706452	0.08066915	2
6	61.44	1	0	0	0	0	1	0	0	0	1	0.44917306	0.05203847	0.40156338	0.09722513	0.18219444	0
7	171.1	0	1	0	1	0	0	1	0	1	0	0.45769787	0.055874407	0.39463422	0.09179355	0.15982792	2
6	103.04	0	1	1	0	0	1	0	0	0	1	0.5044631	0.013258486	0.42214152	0.060136914	0.19816817	0
1	29.99	0	1	0	1	0	0	1	0	1	0	0.39914238	0.101057544	0.3988883	0.100911826	-0.00025989115	3
9	108.78	0	1	0	0	0	0	1	0	1	0	0.50296444	0.02345361	0.36409906	0.109482884	0.37325448	1
9	29.99	0	1	1	0	0	1	0	0	0	1	0.45441005	0.023769142	0.45709014	0.064730704	0.14868025	0
8	44.95	0	1	1	0	0	1	0	0	1	0	0.56232625	0.0083029345	0.4027248	0.026646009	0.09501554	0
6	29.99	1	0	1	1	0	0	1	0	0	1	0.50851625	0.02058066	0.4384936	0.03240947	0.059852757	2
9	68.28	1	0	0	0	0	1	0	0	0	1	0.64587814	0.09126172	0.21987514	0.04298499	0.0794456	0
3	130.83	0	1	0	0	0	0	1	0	1	0	0.35294718	0.06503534	0.46970367	0.11231377	0.07475948	0
1	1805.02	0	1	1	1	0	0	1	0	1	0	0.13060161	0.017105674	0.5697687	0.282524	0.4313583	2
11	78.86	0	1	1	0	1	0	0	0	1	0	0.53916186	0.03794131	0.35613096	0.066765904	0.18426614	0
6	74.57	1	0	0	0	0	1	0	0	0	1	0.47140762	0.026682585	0.3965313	0.10537853	0.3127706	0
6	132.31	0	1	1	1	1	0	0	0	0	1	0.512356	0.026306929	0.3747115	0.08662559	0.2778664	2
4	123.15	1	0	1	0	0	0	1	0	0	1	0.46046966	0.056987986	0.42873544	0.053806923	0.002752848	0
2	336.86	1	0	0	0	1	0	0	0	1	0	0.4430497	0.0761725	0.38466373	0.09611403	0.10641725	1
9	121.02	1	0	0	1	1	0	0	0	1	0	0.4236091	0.078645684	0.42781463	0.06993054	-0.03218116	2
7	315.13	1	1	0	1	1	0	0	0	0	1	0.37837756	0.18188493	0.25128984	0.18844768	0.20780703	2
5	304.78	1	1	0	0	1	0	0	0	1	0	0.2915851	0.18626297	0.28897047	0.23318148	0.11356488	1
8	83.49	1	0	0	0	0	1	0	0	1	0	0.53202206	0.033026244	0.3640858	0.0708659	0.20895936	0
1	424.78	1	0	0	1	0	1	0	1	0	0	0.4653191	0.047695942	0.37340483	0.113580175	0.28051904	2
4	29.99	1	0	1	0	0	1	0	0	0	1	0.48816523	0.037204515	0.41983506	0.054795228	0.08926468	0
4	71.53	1	0	0	1	1	0	0	0	0	1	0.39268824	0.08881606	0.37023285	0.14826283	0.2029853	2
6	641.74	0	1	1	1	0	1	0	1	0	0	0.52161825	0.030182248	0.40763888	0.040560625	0.07159811	2
5	290.31	1	0	1	0	0	0	1	0	0	1	0.53444463	0.046541113	0.3414479	0.077566355	0.21001822	0
6	349.33	0	1	0	0	1	0	0	1	0	0	0.3840238	0.07224689	0.3791412	0.16458811	0.28872025	0
3	1247.75	1	1	1	0	0	0	1	1	0	0	0.29517984	0.05722497	0.6044718	0.043123387	-0.19158827	0
1	658.38	1	1	1	0	0	0	1	0	0	1	0.32772598	0.08185596	0.42715403	0.16326408	0.15334076	0
6	351.62	0	1	1	1	0	0	1	0	1	0	0.48127943	0.012382665	0.46826312	0.038074832	0.100226365	2
10	72.8	0	1	1	0	0	1	0	0	0	1	0.47331575	0.023251021	0.47157332	0.031859897	0.032923467	0
9	240.86	1	1	1	1	0	1	0	1	0	0	0.49915248	0.00936866	0.38748115	0.10399774	0.38635656	2
9	182.83	0	1	1	1	0	1	0	0	0	1	0.4422067	0.017946117	0.48726812	0.052579004	0.11679154	2
9	216.4	1	1	0	0	0	0	1	1	0	0	0.37950894	0.053167604	0.38869217	0.17863128	0.383972	0
8	567.22	0	1	1	0	0	1	0	0	1	0	0.58099866	0.01900925	0.31113157	0.08886052	0.38094807	0
7	491.56	1	0	1	1	0	1	0	1	0	0	0.4865508	0.029705515	0.44062242	0.043121215	0.063200764	2
5	39.57	1	0	1	0	0	1	0	0	1	0	0.39420706	0.035454452	0.5369367	0.033401787	-0.047904633	0
9	95.13	0	1	0	0	0	1	0	0	0	1	0.38848194	0.05992026	0.42536056	0.12623724	0.19045362	0
10	419.42	0	1	1	1	0	1	0	0	0	1	0.4399457	0.04576417	0.41631556	0.097974576	0.19256648	2
7	97.85	1	0	1	0	1	0	0	0	1	0	0.49941686	0.057043254	0.38905108	0.054488864	0.04067801	1
12	56.87	0	1	0	0	0	1	0	0	1	0	0.60051894	0.008286098	0.3384199	0.052775033	0.24259359	0
6	529.2	1	1	1	1	0	1	0	0	1	0	0.6350611	0.032467917	0.23788461	0.0945864	0.4717125	3
9	424.05	0	1	0	0	0	1	0	0	1	0	0.62629306	0.008190914	0.29970723	0.06580878	0.33426782	0
12	29.99	0	1	1	0	0	1	0	0	0	1	0.46098313	0.012074948	0.46583042	0.061111473	0.18089715	0
10	30.6	0	1	1	1	0	1	0	0	1	0	0.48764524	0.0067102015	0.47529176	0.03035278	0.09290851	2
4	92.56	0	1	1	0	0	1	0	0	1	0	0.37671402	0.10350039	0.4582814	0.06150415	-0.19440714	0
5	150.26	1	0	1	0	0	0	1	0	1	0	0.49450648	0.024005651	0.4334946	0.047993336	0.10675985	1
3	419.69	0	1	0	1	0	0	1	1	0	0	0.39876238	0.11849512	0.39252096	0.09022153	-0.084379494	2
10	53.82	0	1	1	1	0	1	0	0	1	0	0.44332105	0.0034921297	0.4994211	0.05376571	0.17875405	2
2	96.62	1	0	0	1	0	1	0	0	1	0	0.5047704	0.0452353	0.36251134	0.08748293	0.22432777	2
5	276.24	1	1	0	1	0	0	1	1	0	0	0.4719631	0.07604405	0.36945024	0.0825426	0.08770916	2
2	216.55	0	1	0	0	0	1	0	1	0	0	0.37472025	0.09443481	0.393889	0.13695589	0.11341815	1
4	423.84	0	1	0	1	0	1	0	0	0	1	0.49151897	0.04971044	0.34873778	0.110032834	0.29599097	2
12	29.99	0	1	0	0	1	0	0	0	0	1	0.32839596	0.035854414	0.59144783	0.044301786	-0.057498097	0
10	405.83	1	0	0	0	0	0	1	0	1	0	0.52260697	0.021188261	0.3871284	0.06907633	0.22490305	0
9	72.29	0	1	1	1	0	0	1	0	0	1	0.46634665	0.011528173	0.4817291	0.040396042	0.106489375	2
3	981.46	1	1	1	0	0	0	1	1	0	0	0.5393388	0.09712861	0.26952246	0.09401008	0.21199143	0
6	50.04	0	1	0	1	0	1	0	0	0	1	0.4975666	0.03987231	0.3971563	0.065404736	0.13441497	2
8	29.99	0	1	0	0	0	0	1	0	1	0	0.44968936	0.03961297	0.41336626	0.097331405	0.21925426	0
8	52.64	0	1	1	0	0	1	0	0	0	1	0.46258667	0.023328086	0.45935628	0.05472895	0.116900526	0
7	186.79	1	0	1	1	0	0	1	0	1	0	0.4997036	0.007234936	0.44813916	0.044922367	0.15367457	2
2	559.92	0	1	1	1	0	0	1	1	0	0	0.43552014	0.026714629	0.4617087	0.076056585	0.16727257	2
2	113.71	0	1	0	0	0	1	0	0	0	1	0.3965053	0.07942568	0.357899	0.16617002	0.30038336	1
7	375.77	0	1	0	1	0	1	0	0	0	1	0.4862973	0.0858826	0.34720635	0.0806138	0.07666397	2
3	42.04	0	1	1	1	0	1	0	0	1	0	0.47982523	0.029631356	0.45725402	0.033289384	0.019399125	2
7	50.05	0	1	0	0	0	1	0	0	0	1	0.50163895	0.04015524	0.3867621	0.07144369	0.16361049	0
2	397.08	0	1	0	1	0	0	1	0	0	1	0.48261815	0.095186494	0.28988865	0.13230674	0.29727957	2
10	134.31	0	1	0	1	0	1	0	0	1	0	0.65132266	0.041444436	0.20757313	0.09965974	0.52910805	2
2	81.08	1	0	1	0	0	0	1	0	1	0	0.54856616	0.026411476	0.38485515	0.040167205	0.097142704	1
11	366.01	1	1	1	1	0	0	1	0	0	1	0.37923712	0.0078771375	0.5116953	0.10119043	0.28951314	3
10	133.02	1	0	1	1	0	0	1	0	1	0	0.6101836	0.002853125	0.3571706	0.029792702	0.14467385	2
11	252.97	1	0	0	1	0	1	0	0	1	0	0.41414526	0.09726297	0.421504	0.06708777	-0.10575622	3
10	42.14	1	0	0	1	0	1	0	0	0	1	0.46133995	0.01790298	0.47567695	0.045080062	0.09841919	2
6	127.95	0	1	0	0	0	1	0	0	1	0	0.38652506	0.04167145	0.49598	0.075823516	0.07057119	0
3	543.14	1	1	1	1	0	1	0	1	0	0	0.4486067	0.060216874	0.3157363	0.17544015	0.47767642	2
11	216.96	0	1	1	1	0	0	1	0	1	0	0.46709007	0.029180711	0.47172168	0.032007493	0.009482149	3
10	56.49	0	1	0	0	0	0	1	0	0	1	0.42038548	0.037577607	0.45772085	0.084316015	0.14700055	0
9	159.76	1	0	1	0	0	0	1	0	1	0	0.49836746	0.0029340822	0.45950875	0.039189693	0.14546205	0
2	611.8	1	0	1	0	0	0	1	0	0	1	0.4568886	0.031292435	0.38585722	0.12596172	0.36401185	0
4	220.34	1	0	1	1	0	0	1	0	1	0	0.4460316	0.034598924	0.3933177	0.12605175	0.34142998	2
6	58.29	1	0	1	0	0	0	1	0	0	1	0.38651127	0.02963713	0.5269798	0.05687177	0.052380405	0
6	42.14	0	1	1	1	0	1	0	0	0	1	0.52466595	0.014629646	0.4215186	0.039185863	0.11585808	2
11	45.75	0	1	1	1	1	0	0	0	0	1	0.33699936	0.010560203	0.5509396	0.10150088	0.2503744	2
3	152.02	1	0	0	1	0	0	1	0	1	0	0.43774673	0.055104185	0.43086922	0.07627981	0.07720409	2
10	46.1	1	0	0	1	0	1	0	0	1	0	0.40212974	0.012759916	0.4908682	0.094242126	0.26062462	2
6	271.24	1	0	0	0	0	0	1	0	1	0	0.4001654	0.06319617	0.39312962	0.1435088	0.26207107	1
3	144.07	1	0	0	1	0	0	1	0	0	1	0.42960662	0.074477	0.40001968	0.095896706	0.09125087	2
10	29.99	1	0	0	1	0	1	0	0	0	1	0.47345716	0.037523832	0.41523638	0.0737826	0.15488786	2
3	458.76	1	0	0	1	1	0	0	1	0	0	0.41655025	0.09247264	0.36797634	0.12300076	0.13771088	2
6	29.99	1	0	1	1	0	0	1	0	1	0	0.5211596	0.0068233884	0.45167178	0.020345248	0.060358502	2
9	88.48	0	1	0	0	0	1	0	0	0	1	0.45084321	0.03938181	0.39980567	0.109969296	0.27077433	0
9	74.59	1	0	0	0	0	1	0	0	0	1	0.46740744	0.028970856	0.4216154	0.082006305	0.20893727	0
10	104.88	1	0	0	1	0	0	1	0	0	1	0.5009822	0.034840837	0.40440732	0.05976958	0.12748328	3
7	40.78	1	0	1	1	0	1	0	0	1	0	0.57147956	0.0105634155	0.38808897	0.02986805	0.10662626	3
8	90.65	1	0	0	1	0	1	0	0	0	1	0.41166198	0.055912457	0.34834257	0.18408297	0.45232862	2
1	858.38	1	0	1	0	0	1	0	1	0	0	0.4124468	0.07750448	0.4270114	0.08303734	0.009229213	0
12	29.99	1	0	0	1	0	1	0	0	0	1	0.49299455	0.027118973	0.40292054	0.0769659	0.2164862	3
10	29.99	0	1	1	1	0	1	0	0	1	0	0.4811341	0.007970795	0.48380417	0.027090985	0.07345961	2
2	181.92	0	1	0	0	1	0	0	0	0	1	0.40173474	0.09829023	0.395133	0.10484203	0.0262478	1
3	34.63	0	1	1	1	0	1	0	0	0	1	0.54719424	0.034737337	0.40196827	0.01610014	-0.04236472	2
4	76.03	1	0	0	0	0	0	1	0	1	0	0.42232445	0.060768828	0.42236617	0.09454054	0.114211306	1
7	331.1	0	1	1	1	1	0	0	0	0	1	0.41451985	0.065283045	0.41894534	0.10125173	0.11715774	2
2	304.75	1	0	0	1	0	1	0	0	1	0	0.4299377	0.06096692	0.39926872	0.109826654	0.18307209	2
2	65.18	1	0	0	1	0	1	0	0	1	0	0.47819617	0.037861235	0.38348234	0.10046024	0.26844153	3
7	104.16	0	1	1	1	0	0	1	0	0	1	0.4456275	0.01761577	0.47143242	0.06532431	0.1673497	2
9	100.89	1	0	1	0	0	0	1	0	0	1	0.55456173	0.010104699	0.39048296	0.044850595	0.17026162	0
1	147.46	0	1	0	0	0	1	0	0	1	0	0.5207845	0.064948305	0.29902056	0.11524665	0.3346203	0
12	51.95	0	1	0	1	0	0	1	0	0	1	0.45062327	0.055649705	0.40683344	0.08689354	0.1321496	2
7	178.9	1	0	0	0	0	0	1	0	0	1	0.42293978	0.057967283	0.43648794	0.082605004	0.07719184	0
10	103.24	1	0	0	1	0	0	1	0	0	1	0.49022245	0.033627097	0.41483912	0.06131134	0.12914468	2
12	101.24	0	1	1	1	0	1	0	0	1	0	0.43425977	0.005464613	0.4332729	0.12700278	0.42850348	3
1	551.6	0	1	1	1	0	0	1	0	0	1	0.4498111	0.037237383	0.40935874	0.103592746	0.25099826	2
3	138.69	0	1	1	1	0	1	0	0	1	0	0.4977639	0.020304326	0.37763283	0.10429896	0.3544522	2
6	65.97	1	0	1	1	0	0	1	0	0	1	0.4929322	0.010163112	0.46454242	0.0323622	0.089852795	3
2	79.74	0	1	1	0	0	0	1	0	1	0	0.46675688	0.038792476	0.44314364	0.051306963	0.054064557	0
3	83.49	0	1	1	0	0	0	1	0	0	1	0.4148471	0.045649238	0.4734221	0.066081576	0.04671073	0
1	255.16	1	0	0	1	0	1	0	1	0	0	0.37356856	0.0641686	0.40192258	0.16034022	0.27715582	2
9	629.67	1	0	1	0	0	1	0	1	0	0	0.41650388	0.02572203	0.5036111	0.054162998	0.07788132	0
2	170.4	1	0	1	0	0	1	0	0	0	1	0.5528015	0.04103808	0.3310273	0.07513316	0.23175526	0
1	258.18	1	0	0	0	0	0	1	0	1	0	0.3653295	0.045151643	0.49857968	0.09093922	0.08852629	0
10	29.99	1	0	0	1	0	0	1	0	1	0	0.51602453	0.031628378	0.3683682	0.0839789	0.25579762	2
1	667.03	0	1	1	1	0	1	0	0	0	1	0.41191566	0.11054167	0.34183696	0.1357057	0.14518934	3
10	103.28	0	1	1	0	0	0	1	0	1	0	0.47175264	0.0069723763	0.4732682	0.048006706	0.1550607	0
1	611.06	0	1	1	0	0	1	0	1	0	0	0.46629128	0.03081205	0.44685453	0.056042187	0.09891109	0
10	29.99	0	1	1	1	0	0	1	0	0	1	0.45389476	0.03125569	0.44124326	0.073606305	0.15708372	2
3	477.12	1	0	1	0	0	1	0	1	0	0	0.42764878	0.043657262	0.3946494	0.13404456	0.32181734	0
10	70.12	1	0	1	0	0	0	1	0	1	0	0.5069745	0.012817508	0.4341576	0.04605036	0.1424756	0
2	503.59	1	0	1	1	0	0	1	0	1	0	0.32623166	0.029951768	0.57685596	0.06696065	0.03982977	2
9	29.99	1	0	1	0	0	1	0	0	1	0	0.522314	0.00403119	0.44535914	0.02829568	0.10416032	0
5	53.86	1	0	0	1	0	1	0	0	0	1	0.42902043	0.05462457	0.43305477	0.083300196	0.09676004	2
3	554.56	1	0	1	0	0	1	0	1	0	0	0.41749913	0.03823433	0.4547081	0.08955841	0.16130516	0
7	318.84	0	1	1	1	0	0	1	0	1	0	0.4414106	0.009725995	0.5020391	0.046824295	0.12750502	2
8	29.99	1	0	0	0	0	0	1	0	0	1	0.47592902	0.053812094	0.3774529	0.092805974	0.19153786	0
2	260.95	1	0	0	0	0	1	0	0	0	1	0.35681242	0.12868588	0.4007003	0.11380136	-0.08774367	0
10	72.38	0	1	1	1	0	0	1	0	0	1	0.47060275	0.01622616	0.47142616	0.041744977	0.09603359	2
7	45.14	0	1	0	1	0	1	0	0	0	1	0.610103	0.036451004	0.28381273	0.06963324	0.2812702	2
7	29.99	0	1	1	0	0	1	0	0	0	1	0.47663093	0.032720614	0.4443284	0.046320118	0.06033229	0
3	45.41	0	1	1	1	0	0	1	0	1	0	0.5155525	0.024161639	0.40609428	0.054191526	0.14593408	2
1	432.85	0	1	0	0	0	1	0	1	0	0	0.5591435	0.07158913	0.30797827	0.061289117	0.10494667	0
1	243.83	1	0	0	1	1	0	0	0	0	1	0.38190097	0.12062951	0.27743226	0.22003727	0.40453786	3
5	218.81	1	0	0	1	0	1	0	0	1	0	0.42295048	0.06406631	0.4211263	0.091856845	0.0950312	2
1	29.99	0	1	1	1	1	0	0	0	0	1	0.42627093	0.058301147	0.46252456	0.052903365	-0.03535001	2
3	503.97	1	0	1	0	0	1	0	0	1	0	0.5208368	0.04273036	0.30070543	0.13572745	0.4703429	0
11	60.17	1	0	1	1	0	1	0	0	0	1	0.4655104	0.049843457	0.4324304	0.052215796	0.022046074	2
5	100.73	0	1	1	0	1	0	0	0	1	0	0.4745965	0.077884935	0.40116587	0.0463527	-0.074791536	0
6	235.07	1	0	0	0	0	1	0	0	0	1	0.41541624	0.09159044	0.37191418	0.12107918	0.12990126	0
9	135.61	0	1	0	1	0	0	1	0	0	1	0.5465287	0.0443026	0.29248515	0.11668359	0.42037764	2
6	1061.48	0	1	1	0	0	0	1	1	0	0	0.6004205	0.02382744	0.28288287	0.09286925	0.41797158	0
11	29.99	1	0	1	0	0	1	0	0	1	0	0.5092336	0.008478376	0.4543914	0.027896648	0.082931325	0
4	504.5	1	1	1	0	0	0	1	0	1	0	0.4484826	0.07737107	0.33709097	0.13705538	0.28384575	0
9	502.44	1	1	1	1	0	0	1	1	0	0	0.46566626	0.012943417	0.42038098	0.101009354	0.333374	3
1	738.66	0	1	1	1	0	1	0	1	0	0	0.35382614	0.0226602	0.55297756	0.07053604	0.10587616	2
2	41.49	1	0	0	1	0	0	1	0	1	0	0.42361182	0.051771827	0.42214143	0.102474935	0.17285539	3
4	663.89	1	1	1	0	0	1	0	1	0	0	0.44393602	0.051207986	0.34253055	0.16232543	0.43621564	0
4	68.75	0	1	1	1	1	0	0	0	1	0	0.35648787	0.0259366	0.5356842	0.08189133	0.12955952	2
5	62.83	1	0	0	1	0	0	1	0	0	1	0.42904773	0.039291818	0.43354735	0.09811307	0.20128968	2
1	841.12	1	0	1	1	0	0	1	0	1	0	0.34434515	0.18450698	0.41502	0.056127902	-0.45950368	3
4	169.32	0	1	0	0	1	0	0	0	0	1	0.37140775	0.08502933	0.3274551	0.2161078	0.4225744	0
2	65.56	0	1	1	0	0	0	1	0	1	0	0.41461787	0.016560594	0.49255213	0.07626943	0.19135094	0
7	53.28	1	0	1	0	0	0	1	0	0	1	0.40186724	0.020180462	0.5108711	0.067081206	0.13650283	1
2	2204.57	1	1	1	0	0	0	1	0	1	0	0.08244727	0.0055826046	0.8940878	0.017882317	-0.08761742	0
5	270.93	0	1	1	1	1	0	0	1	0	0	0.52994436	0.06490686	0.33868304	0.06646576	0.109876595	3
10	74.1	0	1	0	1	0	1	0	0	0	1	0.47904748	0.047315855	0.41130042	0.062336296	0.08344009	2
2	155.85	1	0	1	0	0	1	0	0	1	0	0.5176284	0.021782028	0.39924374	0.061345905	0.18561746	0
1	38.42	0	1	1	1	0	1	0	0	1	0	0.458872	0.040009405	0.46192968	0.03918896	-0.0039904714	2
7	281.69	1	0	1	0	0	0	1	0	1	0	0.48819256	0.017004358	0.44003	0.05477306	0.15407562	0
10	82.04	0	1	0	1	0	0	1	0	0	1	0.46570706	0.04359647	0.42620224	0.06449419	0.091667674	2
1	369.35	1	0	0	0	0	1	0	1	0	0	0.46667853	0.06990635	0.39572692	0.067688204	0.031567514	1
4	162.61	0	1	0	0	0	1	0	0	1	0	0.42623764	0.06924691	0.42504814	0.07946729	0.03551224	0
11	29.99	0	1	1	1	1	0	0	0	1	0	0.42178178	0.049415264	0.47287855	0.05592445	0.0017698258	2
2	645.3	1	0	1	0	0	1	0	0	0	1	0.48065045	0.060169853	0.3944199	0.06475984	0.059554175	0
1	779.22	1	1	1	1	0	0	1	0	1	0	0.51241827	0.0902719	0.26353922	0.13377063	0.37381876	2
2	534.88	1	0	1	1	0	1	0	0	0	1	0.54085654	0.032273006	0.33545542	0.09141499	0.31568292	2
5	29.99	1	0	1	1	0	0	1	0	1	0	0.5000476	0.025573056	0.4501583	0.024220997	0.0048103966	2
2	29.99	1	0	0	0	0	0	1	0	0	1	0.43764463	0.08076764	0.3851018	0.09648587	0.089102805	0
6	105.67	0	1	1	1	0	0	1	0	0	1	0.47209984	0.012201489	0.45073935	0.064959325	0.20153944	2
12	350.05	0	1	0	1	0	0	1	0	0	1	0.5011354	0.024152301	0.41438106	0.060331278	0.1622221	2
7	805.72	1	1	1	1	0	1	0	0	0	1	0.35316765	0.07889026	0.43571213	0.13222998	0.10046226	2
3	858.45	0	1	1	0	0	1	0	0	0	1	0.3354832	0.03319372	0.55850965	0.07281342	0.0506	0
2	721.66	1	1	1	0	0	1	0	0	0	1	0.58244085	0.06711971	0.22660644	0.12383298	0.5000678	0
3	113.59	0	1	1	1	1	0	0	0	1	0	0.49404824	0.035367955	0.37621918	0.09436461	0.26744226	2
4	409.84	0	1	0	1	0	0	1	0	0	1	0.36084837	0.072062805	0.46105987	0.10602901	0.04101953	2
10	29.99	1	0	0	1	0	1	0	0	1	0	0.5119173	0.029873013	0.39771476	0.06049492	0.15377383	2
6	138.71	1	0	1	1	1	0	0	0	0	1	0.4641535	0.03677898	0.39630264	0.102764845	0.26498547	2
10	207.34	0	1	1	1	0	1	0	1	0	0	0.33110332	0.008075101	0.629392	0.03142956	0.047506984	2
3	46.69	0	1	0	1	0	1	0	0	0	1	0.5367614	0.060212184	0.3358196	0.06720681	0.13178587	2
7	29.99	0	1	1	0	0	1	0	0	0	1	0.47663093	0.032720614	0.4443284	0.046320118	0.06033229	0
11	180.84	1	0	1	1	0	1	0	0	0	1	0.48852104	0.042963848	0.41919303	0.04932202	0.048871323	2
9	48.13	1	0	0	0	0	1	0	0	1	0	0.32886574	0.011807463	0.5901548	0.069171995	0.14050764	0
4	479.33	1	1	1	0	1	0	0	0	0	1	0.3214921	0.13538219	0.37426278	0.16886292	0.029173642	0
4	323.02	0	1	0	1	0	1	0	0	0	1	0.40438455	0.1314969	0.325366	0.13875255	0.107149914	2
4	268.8	0	1	0	0	0	0	1	1	0	0	0.44522184	0.08320881	0.38498774	0.08658167	0.052278474	0
6	52.86	0	1	1	1	0	1	0	0	1	0	0.48012772	0.008961941	0.47034332	0.040567067	0.12215567	2
2	381.28	1	1	0	1	0	0	1	0	1	0	0.4094279	0.10795475	0.3553329	0.12728442	0.11016455	3
5	198.46	1	0	0	1	0	0	1	0	1	0	0.31713313	0.02798007	0.58671296	0.06817388	0.046050444	3
10	82.15	0	1	1	0	0	0	1	0	1	0	0.45935923	0.005951271	0.48579252	0.04889701	0.1573189	0
12	675.21	1	1	1	1	1	0	0	1	0	0	0.65539294	0.047372915	0.19576405	0.10147008	0.54794353	2
2	160.57	0	1	0	0	0	1	0	0	0	1	0.50863326	0.065473564	0.34165147	0.08424173	0.16751185	0
7	368.32	0	1	1	0	0	1	0	0	1	0	0.453358	0.017169127	0.4879724	0.041500412	0.08378296	0
10	86.63	1	0	0	1	1	0	0	0	0	1	0.34744123	0.04009032	0.51870763	0.09376081	0.099272504	2
6	165.41	0	1	0	1	1	0	0	0	0	1	0.40934962	0.11717346	0.37499323	0.09848367	-0.029081926	3
11	506.7	1	1	1	1	0	0	1	0	0	1	0.6420988	0.022206197	0.25834942	0.07734557	0.39395314	2
9	302.52	1	0	0	1	0	0	1	0	1	0	0.46839067	0.01761642	0.44762406	0.0663689	0.18575382	2
9	97.79	0	1	0	0	1	0	0	0	0	1	0.38424075	0.096018866	0.40815294	0.11158747	0.029534549	0
6	71.93	1	0	1	1	0	1	0	0	0	1	0.5422677	0.01510255	0.39075893	0.051870815	0.18018349	2
